id,pregunta,itc,opcion_1,opcion_2,opcion_3,respuesta_correcta
269,"¿Es admitido para la protección contra cortocircuitos, que cuando se trate de circuitos derivados de uno principal, cada uno de estos circuitos derivados disponga de protección contra sobrecargas, mientras el dispositivo general pueda asegurar la protección contra cortocircuitos para todos los circuitos derivados? (ITC-BT 22)",,"Sí.","No.","Sólo si tiene además protección diferencial asociada.","Sí."
270,"¿Son necesarios requisitos adicionales a los especificados en la ITC-BT 27 para las duchas de emergencia de zonas industriales? (ITC-BT 27)",,"Para las duchas de emergencia de zonas industriales, son de aplicación las reglas generales.","Sí, son obligatorios.","La ITC-BT 27 no se aplica a este tipo de duchas.","Para las duchas de emergencia de zonas industriales, son de aplicación las reglas generales."
271,"De las siguientes canalizaciones, ¿cuál se puede utilizar como toma de tierra? (ITC-BT 18)",,"Canalizaciones de agua, previa autorización.","Canalizaciones de calefacción.","Ninguna de ellas.","Ninguna de ellas."
272,"¿Cuál es el coeficiente de seguridad mínimo de los cables de acero para la colocación de luminarias suspendidas? (ITC-BT 09)",,"2,5.","3,5.","2.","3,5."
273,"Los conductores de los circuitos de muy baja tensión de seguridad, a efectos de la separación de protección respecto a los de cualquier otro circuito, deben estar provistos de aislamiento principal y de: (ITC-BT 36)",,"Una cubierta de material metálico.","Una cubierta no metálica.","Una cubierta estanca de material termoestable, higroscópico y metálico.","Una cubierta no metálica."
274,"Cuando se utilizan canales protectoras para instalación de líneas generales de alimentación: (ITC-BT 14)",,"Deberán permitir la ampliación de la sección de los conductores instalados inicialmente en un 50%.","No pueden instalarse canales protectoras para una línea general de alimentación.","Deberán permitir la ampliación de la sección de los conductores instalados inicialmente en un 100%.","Deberán permitir la ampliación de la sección de los conductores instalados inicialmente en un 100%."
275,"¿Cada qué distancia se podrán colocar cajas de registro precintables para facilitar la instalación de las derivaciones individuales? (ITC-BT 15)",,"Cada 15 m.","Cada 10 m.","Cada 5 m.","Cada 15 m."
276,"Los motores deben estar protegidos contra la falta de tensión por: (ITC-BT 47)",,"Un dispositivo de corte automático de la alimentación.","Fusibles sin curva térmica de corte.","Ninguna es correcta.","Un dispositivo de corte automático de la alimentación."
277,"Para la puesta en servicio de las instalaciones eléctricas: (ITC-BT 04)",,"La empresa suministradora podrá realizar, a cargo del titular, las verificaciones que considere oportunas antes de conectar a su red de distribución.","La empresa suministradora no podrá realizar las verificaciones que considere oportunas antes de conectar a su red de distribución.","La empresa suministradora podrá realizar, a su cargo, las verificaciones que considere oportunas antes de conectar a su red de distribución.","La empresa suministradora podrá realizar, a su cargo, las verificaciones que considere oportunas antes de conectar a su red de distribución."
278,"Los quirófanos precisarán de un proyecto para su ejecución cuando la potencia de la instalación sea superior a: (ITC-BT 04)",,"10 kW.","20 kW.","Todos requieren de proyecto para su ejecución.","Todos requieren de proyecto para su ejecución."
279,"¿Serán objeto de inspección periódica las instalaciones eléctricas comunes de edificios de viviendas? (ITC-BT 05)",,"Sólo las de potencia total instalada superior a 50 kW.","Sólo las de potencia total instalada superior a 100 kW.","Sí, siempre.","Sólo las de potencia total instalada superior a 100 kW."
280,"¿Qué medios técnicos deberá tener una empresa instaladora de categoría básica? (ITC-BT 03)",,"Medidor de corrientes de fuga y detector de tensión.","Telurómetro y medidor de aislamiento.","Ambas respuestas son correctas.","Ambas respuestas son correctas."
281,"¿Cómo se realizarán las conexiones entre los conductores de tierra de una vivienda? (ITC-BT 26)",,"Mediante dispositivos con tornillos de apriete o similares que garanticen una continua y perfecta unión.","Mediante soldadura aluminotérmica.","Mediante dispositivos sin tornillos de apriete o similares que garanticen una continua y perfecta unión.","Mediante dispositivos con tornillos de apriete o similares que garanticen una continua y perfecta unión."
282,"¿Dónde se instalarán los fusibles de protección de cada derivación individual? (ITC-BT 16)",,"Antes del contador y se colocarán en cada uno de los hilos de fase o polares que van al contador.","Después del contador y se colocarán en cada uno de los hilos de fase o polares que van al contador.","Antes del contador y se colocarán en cada uno de los hilos de fase y neutro que van al contador.","Antes del contador y se colocarán en cada uno de los hilos de fase o polares que van al contador."
283,"¿Cuál de los siguientes métodos puede emplearse para determinar la sección mínima de los conductores de protección? (ITC-BT 19)",,"Puede obtenerse en función de la sección de los conductores de fase cuando sean del mismo material que los de protección.","Se obtendrá por cálculo conforme a la norma UNE 20.460-5-54, para otras condiciones.","Ambas respuestas son correctas.","Ambas respuestas son correctas."
284,"¿Dónde tendrá validez el certificado de cualificación individual en baja tensión? (ITC-BT 03)",,"Tendrá validez en todo el territorio español.","Tendrá validez sólo en la Comunidad Autónoma que lo expida.","Tendrá validez sólo en la provincia que lo expida.","Tendrá validez en todo el territorio español."
285,"En instalaciones a muy baja tensión de seguridad: (ITC-BT 36)",,"Las masas de los circuitos secundarios deben unirse entre sí con una conexión equipotencial.","Las masas de los circuitos secundarios deben unirse a tierra a través de una conexión equipotencial.","Las masas de los circuitos secundarios no deben estar unidas a otras masas ni a tierra.","Las masas de los circuitos secundarios no deben estar unidas a otras masas ni a tierra."
286,"Una vez ejecutado un corte de emergencia, ¿es posible la reconexión mecánica o eléctrica de la alimentación desde un dispositivo diferente al que realizó el corte? (ITC-BT 32)",,"Es posible únicamente cuando ha pasado la situación de emergencia.","La reconexión solamente puede ser posible desde el dispositivo de control desde el cual se realizó el corte de emergencia.","Sí, es posible sin ninguna otra prescripción.","La reconexión solamente puede ser posible desde el dispositivo de control desde el cual se realizó el corte de emergencia."
287,"¿Qué requisitos deberá cumplir el equipo telefónico de una bañera de hidromasaje? (ITC-BT 27)",,"Los que especifica la norma UNE-EN 60335-2-60.","Los que especifica la norma UNE-EN 60335-1-60.","Los que especifica la norma UNE-EN 60235-2-60.","Los que especifica la norma UNE-EN 60335-2-60."
288,"¿Cómo se conectarán las masas de las instalaciones receptoras al conductor neutro en el esquema TN-C? (ITC-BT 08)",,"Mediante conductores de protección.","Mediante conductores de fase.","Mediante conexiones equipotenciales.","Mediante conductores de protección."
289,"¿Qué porcentaje mínimo tendrá el suministro complementario obligatorio de un estadio deportivo respecto de la potencia total contratada para el suministro normal? (ITC-BT 28)",,"25%","50%","No existe limitación reglamentaria de potencia.","25%"
290,"Indíquese la ocupación mínima de un local de espectáculos y actividades recreativas para que sea necesario instalar un suministro complementario de socorro. (ITC-BT 28)",,"100 personas.","300 personas.","Siempre debe instalarse cualquiera que sea la ocupación prevista.","Siempre debe instalarse cualquiera que sea la ocupación prevista."
291,"En instalaciones interiores se podrá desconectar de la fuente de alimentación de energía: (ITC-BT 19)",,"Toda instalación cuyo origen esté en una línea general de alimentación.","Toda instalación con origen en un cuadro de mando o de distribución.","Ambas respuestas son correctas.","Ambas respuestas son correctas."
292,"En los motores que accionan máquinas de par resistente muy variable se tomarán medidas oportunas para que la potencia absorbida no pueda ser mayor de: (ITC-BT 43)",,"El 200 por 100 de la potencia nominal del receptor.","El 180 por 100 de la potencia nominal del receptor.","El 125 por 100 de la potencia nominal del receptor.","El 200 por 100 de la potencia nominal del receptor."
293,"¿Qué características tendrán los obstáculos utilizados en la protección contra contactos directos? (ITC-BT 24)",,"Los obstáculos pueden ser desmontables sin la ayuda de una herramienta o de una llave.","Los obstáculos no pueden ser desmontables sin la ayuda de una herramienta o de una llave.","Deben estar fijados de manera que se impida todo desmontaje voluntario.","Los obstáculos pueden ser desmontables sin la ayuda de una herramienta o de una llave."
294,"¿Cómo se dimensionarán los conductores de conexión que alimentan a un sólo motor? (ITC-BT 47)",,"Deberán estar dimensionados para una intensidad del 1,25% de la intensidad a plena carga del motor.","Deberán estar dimensionados para una intensidad del 125% de la intensidad a plena carga del motor.","Deberán estar dimensionados para una intensidad no inferior a la suma del 125% de la intensidad a plena carga del motor de mayor potencia, más la intensidad a plena carga de todos los demás.","Deberán estar dimensionados para una intensidad del 125% de la intensidad a plena carga del motor."
295,"En una instalación interior, ¿qué causas pueden motivar una sobreintensidad? (ITC-BT 22)",,"Un cortocircuito.","Un defecto de aislamiento de gran impedancia.","Las dos respuestas anteriores son correctas.","Las dos respuestas anteriores son correctas."
296,"En la instalación eléctrica de un puerto marino para barcos de recreo (ITC-BT 42)",,"Se admite la protección contra contactos directos por medio de obstáculos.","Los equipos eléctricos tendrán al menos un IP X6.","Las bases de tomas de corriente tendrán un grado de protección mínimo IP X5.","Los equipos eléctricos tendrán al menos un IP X6."
297,"¿Qué carga mínima consideraremos para un local industrial de 250 m²? (ITC-BT 10)",,"10.350 W.","31.250 W.","25.000 W.","25.000 W."
298,"¿A partir de qué valor deberá actuar la protección de mínima tensión de un generador en paralelo con la red de distribución pública? (ITC-BT 40)",,"A partir del 110% del valor de tensión asignado.","A partir del 85% del valor de tensión asignado.","A partir del 50% del valor de tensión asignado.","A partir del 85% del valor de tensión asignado."
